label,precision,recall,f1-score
battery,0.7073170731707317,0.7807692307692308,0.7422303473491774
organik,0.8442622950819673,0.7686567164179104,0.8046875
glass,0.5246636771300448,0.8571428571428571,0.650904033379694
cardboard,0.6746987951807228,0.7697594501718213,0.7191011235955056
metal,0.5590361445783133,0.8,0.6581560283687943
paper,0.5508684863523573,0.8072727272727273,0.6548672566371682
plastic,0.5044843049327354,0.8064516129032258,0.6206896551724138
trash,0.4742063492063492,0.8628158844765343,0.6120358514724712
micro avg,0.580110497237569,0.8065973791233619,0.6748582230623819
samples avg,0.605925360798525,0.7989541611036939,0.6687326247406354
